Data,Dia da Semana,Feriado
1/1/2038,sexta-feira,Confraternização Universal
3/8/2038,segunda-feira,Carnaval
3/9/2038,terça-feira,Carnaval
4/21/2038,quarta-feira,Tiradentes
4/23/2038,sexta-feira,Paixão de Cristo
5/1/2038,sábado,Dia do Trabalho
6/24/2038,quinta-feira,Corpus Christi
9/7/2038,terça-feira,Independência do Brasil
10/12/2038,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2038,terça-feira,Finados
11/15/2038,segunda-feira,Proclamação da República
12/25/2038,sábado,Natal
1/1/2039,sábado,Confraternização Universal
2/21/2039,segunda-feira,Carnaval
2/22/2039,terça-feira,Carnaval
4/8/2039,sexta-feira,Paixão de Cristo
4/21/2039,quinta-feira,Tiradentes
5/1/2039,domingo,Dia do Trabalho
6/9/2039,quinta-feira,Corpus Christi
9/7/2039,quarta-feira,Independência do Brasil
10/12/2039,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2039,quarta-feira,Finados
11/15/2039,terça-feira,Proclamação da República
12/25/2039,domingo,Natal
1/1/2040,domingo,Confraternização Universal
2/13/2040,segunda-feira,Carnaval
2/14/2040,terça-feira,Carnaval
3/30/2040,sexta-feira,Paixão de Cristo
4/21/2040,sábado,Tiradentes
5/1/2040,terça-feira,Dia do Trabalho
5/31/2040,quinta-feira,Corpus Christi
9/7/2040,sexta-feira,Independência do Brasil
10/12/2040,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2040,sexta-feira,Finados
11/15/2040,quinta-feira,Proclamação da República
12/25/2040,terça-feira,Natal
1/1/2041,terça-feira,Confraternização Universal
3/4/2041,segunda-feira,Carnaval
3/5/2041,terça-feira,Carnaval
4/19/2041,sexta-feira,Paixão de Cristo
4/21/2041,domingo,Tiradentes
5/1/2041,quarta-feira,Dia do Trabalho
6/20/2041,quinta-feira,Corpus Christi
9/7/2041,sábado,Independência do Brasil
10/12/2041,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2041,sábado,Finados
11/15/2041,sexta-feira,Proclamação da República
12/25/2041,quarta-feira,Natal
1/1/2042,quarta-feira,Confraternização Universal
2/17/2042,segunda-feira,Carnaval
2/18/2042,terça-feira,Carnaval
4/4/2042,sexta-feira,Paixão de Cristo
4/21/2042,segunda-feira,Tiradentes
5/1/2042,quinta-feira,Dia do Trabalho
6/5/2042,quinta-feira,Corpus Christi
9/7/2042,domingo,Independência do Brasil
10/12/2042,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2042,domingo,Finados
11/15/2042,sábado,Proclamação da República
12/25/2042,quinta-feira,Natal
1/1/2043,quinta-feira,Confraternização Universal
2/9/2043,segunda-feira,Carnaval
2/10/2043,terça-feira,Carnaval
3/27/2043,sexta-feira,Paixão de Cristo
4/21/2043,terça-feira,Tiradentes
5/1/2043,sexta-feira,Dia do Trabalho
5/28/2043,quinta-feira,Corpus Christi
9/7/2043,segunda-feira,Independência do Brasil
10/12/2043,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2043,segunda-feira,Finados
11/15/2043,domingo,Proclamação da República
12/25/2043,sexta-feira,Natal
1/1/2044,sexta-feira,Confraternização Universal
2/29/2044,segunda-feira,Carnaval
3/1/2044,terça-feira,Carnaval
4/15/2044,sexta-feira,Paixão de Cristo
4/21/2044,quinta-feira,Tiradentes
5/1/2044,domingo,Dia do Trabalho
6/16/2044,quinta-feira,Corpus Christi
9/7/2044,quarta-feira,Independência do Brasil
10/12/2044,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2044,quarta-feira,Finados
11/15/2044,terça-feira,Proclamação da República
12/25/2044,domingo,Natal
1/1/2045,domingo,Confraternização Universal
2/20/2045,segunda-feira,Carnaval
2/21/2045,terça-feira,Carnaval
4/7/2045,sexta-feira,Paixão de Cristo
4/21/2045,sexta-feira,Tiradentes
5/1/2045,segunda-feira,Dia do Trabalho
6/8/2045,quinta-feira,Corpus Christi
9/7/2045,quinta-feira,Independência do Brasil
10/12/2045,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2045,quinta-feira,Finados
11/15/2045,quarta-feira,Proclamação da República
12/25/2045,segunda-feira,Natal
1/1/2046,segunda-feira,Confraternização Universal
2/5/2046,segunda-feira,Carnaval
2/6/2046,terça-feira,Carnaval
3/23/2046,sexta-feira,Paixão de Cristo
4/21/2046,sábado,Tiradentes
5/1/2046,terça-feira,Dia do Trabalho
5/24/2046,quinta-feira,Corpus Christi
9/7/2046,sexta-feira,Independência do Brasil
10/12/2046,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2046,sexta-feira,Finados
11/15/2046,quinta-feira,Proclamação da República
12/25/2046,terça-feira,Natal
1/1/2047,terça-feira,Confraternização Universal
2/25/2047,segunda-feira,Carnaval
2/26/2047,terça-feira,Carnaval
4/12/2047,sexta-feira,Paixão de Cristo
4/21/2047,domingo,Tiradentes
5/1/2047,quarta-feira,Dia do Trabalho
6/13/2047,quinta-feira,Corpus Christi
9/7/2047,sábado,Independência do Brasil
10/12/2047,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2047,sábado,Finados
11/15/2047,sexta-feira,Proclamação da República
12/25/2047,quarta-feira,Natal
1/1/2048,quarta-feira,Confraternização Universal
2/17/2048,segunda-feira,Carnaval
2/18/2048,terça-feira,Carnaval
4/3/2048,sexta-feira,Paixão de Cristo
4/21/2048,terça-feira,Tiradentes
5/1/2048,sexta-feira,Dia do Trabalho
6/4/2048,quinta-feira,Corpus Christi
9/7/2048,segunda-feira,Independência do Brasil
10/12/2048,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2048,segunda-feira,Finados
11/15/2048,domingo,Proclamação da República
12/25/2048,sexta-feira,Natal
1/1/2049,sexta-feira,Confraternização Universal
3/1/2049,segunda-feira,Carnaval
3/2/2049,terça-feira,Carnaval
4/16/2049,sexta-feira,Paixão de Cristo
4/21/2049,quarta-feira,Tiradentes
5/1/2049,sábado,Dia do Trabalho
6/17/2049,quinta-feira,Corpus Christi
9/7/2049,terça-feira,Independência do Brasil
10/12/2049,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2049,terça-feira,Finados
11/15/2049,segunda-feira,Proclamação da República
12/25/2049,sábado,Natal
1/1/2050,sábado,Confraternização Universal
2/21/2050,segunda-feira,Carnaval
2/22/2050,terça-feira,Carnaval
4/8/2050,sexta-feira,Paixão de Cristo
4/21/2050,quinta-feira,Tiradentes
5/1/2050,domingo,Dia do Trabalho
6/9/2050,quinta-feira,Corpus Christi
9/7/2050,quarta-feira,Independência do Brasil
10/12/2050,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2050,quarta-feira,Finados
11/15/2050,terça-feira,Proclamação da República
12/25/2050,domingo,Natal
1/1/2051,domingo,Confraternização Universal
2/13/2051,segunda-feira,Carnaval
2/14/2051,terça-feira,Carnaval
3/31/2051,sexta-feira,Paixão de Cristo
4/21/2051,sexta-feira,Tiradentes
5/1/2051,segunda-feira,Dia do Trabalho
6/1/2051,quinta-feira,Corpus Christi
9/7/2051,quinta-feira,Independência do Brasil
10/12/2051,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2051,quinta-feira,Finados
11/15/2051,quarta-feira,Proclamação da República
12/25/2051,segunda-feira,Natal
1/1/2052,segunda-feira,Confraternização Universal
3/4/2052,segunda-feira,Carnaval
3/5/2052,terça-feira,Carnaval
4/19/2052,sexta-feira,Paixão de Cristo
4/21/2052,domingo,Tiradentes
5/1/2052,quarta-feira,Dia do Trabalho
6/20/2052,quinta-feira,Corpus Christi
9/7/2052,sábado,Independência do Brasil
10/12/2052,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2052,sábado,Finados
11/15/2052,sexta-feira,Proclamação da República
12/25/2052,quarta-feira,Natal
1/1/2053,quarta-feira,Confraternização Universal
2/17/2053,segunda-feira,Carnaval
2/18/2053,terça-feira,Carnaval
4/4/2053,sexta-feira,Paixão de Cristo
